Source: ACS 1-Year Estimates-Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Idaho, Indiana, Kansas, Iowa, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Minnesota, Missouri, Montana, Nevada, Nebraska, New Hampshire, New Jersey, New York, New Mexico, North Carolina, North Dakota, Oklahoma, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Selected Geographies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Place of birth (Recode)","Total","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Indiana/IN","6601242","36448","6618","83753","20919","125768","48795","6488","4851","2710","245929","70031","7522","7282","198185","4537306","18545","14210","133000","13554","4108","18688","14203","136567","27274","14351","47394","5978","5425","20819","4135","11781","8171","25721","61323","3454","135249","16136","20597","33744","1784","36018","1321","91438","131145","10783","2300","42105","34525","5590","42377","4824"
"Iowa/IA","3592550","7860","5116","75163","17673","100769","76327","3009","519","2001","67613","22401","2791","10304","126896","23169","2196798","40042","7960","4834","1022","7482","5588","16803","118930","3248","93364","8379","101275","13240","1121","3489","9804","13249","21173","4204","18898","19610","27624","11972","987","9595","36075","15510","93714","10608","739","16219","43534","1236","68113","4500"
"Kansas/KS","3020973","10523","4829","44553","38286","84695","100243","4121","965","1765","51656","24073","3788","10006","27604","14383","18413","1731609","11158","10965","1946","9502","6634","15899","16976","4934","232738","5731","37640","10279","1097","4978","12520","12114","22684","3972","18230","95661","20085","9775","913","8426","5465","15068","165747","8925","478","22393","36241","2594","11303","6390"
"Kentucky/KY","4416960","26152","2487","20559","9532","40303","17007","2675","2332","2345","133156","59118","4126","2018","50738","194096","4317","6975","3077026","11997","2520","14485","6900","42481","5630","8959","20393","2473","1747","6243","2233","6410","4250","17209","54804","1486","180439","11960","7725","14507","729","26479","880","151189","67261","5428","732","38673","13395","20178","9379","2824"
"Louisiana/LA","5204366","45079","3154","21189","56513","132807","32589","5184","1297","2404","76739","79279","3898","3658","26994","12309","3862","9874","10402","3645454","2496","14389","6079","21924","8038","120359","21283","1797","3292","17742","1330","7784","7701","19068","39381","1189","17084","28876","10970","10234","1660","17978","1391","44610","528436","4550","848","35742","22575","3755","7648","1472"
"Maine/ME","1318619","4925","2425","15569","1787","41281","7522","22745","1345","494","57305","8327","696","979","7639","3649","4163","2892","2430","4214","834184","7008","40572","4418","4638","735","3077","1374","1100","5040","37433","4070","3626","18929","16682","2264","11164","5132","4424","11197","6327","10309","796","7373","47719","1123","7393","14756","9312","1904","3010","1143"
"Maryland/MD","4457783","14695","4000","22591","5088","89498","23840","9677","64900","42658","174266","64428","6434","4734","16271","14892","5584","6383","13681","8937","4027","2865073","23121","16442","8739","5356","14617","2897","3500","9745","5570","27676","6525","48420","97534","606","29731","5733","13598","197219","2942","49872","3072","29368","70893","8373","3885","193219","24581","82165","8981","1746"
"Massachusetts/MA","6524371","13105","4578","50142","5746","191939","42249","133370","6254","12141","354129","64345","8136","4568","28345","13254","4862","4506","9042","9132","109702","41929","4133683","19340","10910","5337","16780","5700","3100","20295","335498","41573","11760","144402","89016","1007","30712","8440","24166","62707","92273","44968","776","25032","80413","9826","50671","79885","42842","5852","13001","2932"
"Michigan/MI","10721524","46468","16285","152163","28095","261897","95078","12648","4240","8698","418301","126347","10259","13835","152832","137641","17791","17723","63596","18897","8098","36788","31165","7605271","54938","23094","48661","13465","11382","49809","7381","21171","19162","63955","109477","6354","169786","26110","40876","55446","2924","58420","5401","132611","222416","18524","2789","76541","76984","13543","97297","8891"
"Minnesota/MN","5303911","5650","16097","93063","9761","148727","77363","5648","2895","2291","89301","27426","6013","12905","51453","15682","58612","16467","9013","5213","5521","11461","13783","29640","3785452","3319","29914","20766","17249","20844","4074","7777","7753","20916","26736","74417","16334","13420","34777","15339","1028","8697","52105","15779","83595","10936","2746","21199","67771","1453","218570","6960"
"Mississippi/MS","3361497","104797","3304","9816","30902","65248","13066","2749","796","1807","62386","75195","861","2154","109390","25949","5934","6501","10468","104411","1385","10894","4319","42498","8641","2143695","37197","1087","3597","8583","712","5298","3960","14896","29621","189","25969","14126","5551","8303","748","15777","1059","135281","137794","2295","323","21134","11674","1308","26703","1146"
"Missouri/MO","5989168","21862","8061","71111","77162","147705","66368","5421","1616","4214","115807","49118","4250","8964","218281","41540","54953","216911","28214","15713","2999","20552","11842","36326","24100","19827","4057701","6016","31057","20558","2631","8134","9992","22856","32911","3128","36413","71081","22693","18436","1784","20308","4810","48306","176986","10207","894","34752","46642","2753","18989","6213"
"Montana/MT","968221","3336","6959","24060","2991","34072","21866","316","462","573","8893","3510","1362","27262","2979","2159","5158","3147","869","1109","313","2345","3863","4426","9466","1142","5616","558795","2200","10373","779","1746","3966","5458","6380","11602","3694","4791","33122","2830","240","3401","5557","2191","20780","14995","514","6305","69293","222","5150","15583"
"Nebraska/NE","2079093","4413","2104","49387","9315","73481","85864","1797","541","1397","29836","12521","3258","8985","20332","9749","82050","47753","4856","4047","930","7467","3361","8560","24505","2304","39722","7783","1239749","14906","2562","2064","5749","9016","12415","4158","9386","14386","21947","5747","258","6107","24541","8152","71331","8598","987","13008","28191","1869","10459","17189"
"Nevada/NV","1244792","4123","1902","29188","2633","97670","17639","1134","296","236","12267","9629","3400","16486","6256","4392","2869","2042","2499","2619","429","3625","2078","7834","4009","2807","6062","8723","1587","815675","286","1057","3676","5788","7427","684","4847","4858","20811","3710","601","4375","1426","6688","30755","30734","534","10472","27676","1106","3714","3458"
"New Hampshire/NH","968241","1265","2402","8240","506","24049","7173","12307","609","1444","50060","8320","1636","2404","3202","2808","1623","464","1091","1010","48679","4640","58755","5700","1812","340","2080","1643","982","2562","554811","4684","1215","18441","14338","87","6022","1385","3068","9675","4730","6614","64","4834","13450","2008","40154","11157","9179","1027","3059","433"
"New Jersey/NJ","7671181","15250","3045","60950","5554","192610","57225","61633","51712","17330","524005","113850","9568","5510","42028","18070","4615","7167","15179","11610","20246","121089","89868","27589","14184","3157","17673","4789","4636","28150","21737","4607800","10318","297604","191772","1657","45129","10607","21533","429146","14486","79109","1871","38380","111911","10468","17014","149158","37596","9400","13926","2267"
"New Mexico/NM","1866274","3198","4976","82091","8378","88904","77363","1306","0","1050","20292","11479","2153","8623","7777","4425","2178","8284","4403","5039","1412","6192","2672","5152","5129","2617","11240","3848","1948","18710","1381","2915","1152699","12248","10759","856","6401","22503","16065","7570","301","2695","1330","7428","160869","15719","844","9965","21434","885","4739","5829"
"New York/NY","20322287","52640","19250","205712","16779","600014","133274","341257","47498","32974","1624526","318797","22417","14405","106732","46038","11097","21443","43547","26814","45984","220814","288980","77620","36748","16488","42355","11266","12904","88081","63389","953368","39805","12239274","488112","4566","140953","26741","58289","536035","41878","201438","4579","99322","307738","23738","50681","350521","102747","16764","39709","6186"
"North Carolina/NC","7661590","28509","2831","20211","6456","76766","32395","14449","8635","16573","179137","154433","5406","4472","24510","22494","5939","8860","19759","15878","6154","86095","19598","25857","9743","9140","17950","2239","5719","15201","6966","38786","7713","77354","5809540","2308","45053","16355","12725","52899","4453","269373","1168","78309","95956","9163","2686","230015","29285","15870","8471","1733"
"North Dakota/ND","977195","2577","2970","28444","1724","35888","20762","706","254","857","16545","4509","1378","5795","8423","4231","4709","4790","2113","1609","2092","3677","1172","5481","137867","1165","4927","24133","7816","5542","736","1492","3711","3486","7048","471001","5608","2903","14408","4604","182","2394","24746","5585","24567","4885","246","4679","31274","885","13704","6895"
"Ohio/OH","12491158","40460","8488","140109","18059","287918","91992","19023","5963","9833","502241","171462","10102","12279","107974","205039","17921","23011","233957","20911","9687","60898","38288","203635","31769","13870","47712","9174","8489","41837","12079","36245","16513","89250","182891","3446","8741986","24677","41350","133459","4677","109114","4941","133953","225471","20568","3923","119087","66545","88655","33700","6527"
"Oklahoma/OK","3603147","13396","4165","38697","66539","114880","60273","2129","711","1375","45261","28730","2916","7616","18770","14088","8838","67476","6708","18517","1149","10272","5232","12755","9051","8430","65778","6925","10919","14960","1466","3973","15644","12897","25712","537","16714","2404035","20164","9284","1089","8897","2170","22535","320690","11493","575","18502","27870","1843","6585","3916"
"Oregon/OR","2862579","5099","18385","52376","9024","154196","28680","2818","612","1141","21788","6590","8924","63570","9569","5028","3689","4712","4874","2537","1844","5948","6609","5531","10017","1933","8558","16630","5152","24732","1690","4150","6561","11906","12028","3901","8258","7002","1904343","8229","815","7784","2565","8179","43382","24616","1170","11921","293896","1282","4588","3747"
"Pennsylvania/PA","13400192","29132","11940","98344","13327","262810","82765","48280","134405","19400","560490","132318","11852","11632","68045","49022","13519","16879","30938","16134","16588","229562","72610","61139","22436","9195","27546","12343","6822","34788","20503","453644","16702","279066","217245","2622","253725","20665","34809","9214024","9201","119440","3505","67610","165034","15998","9276","239441","58287","61343","29162","4629"
"Rhode Island/RI","1080533","2589","130","9333","3570","29688","4716","33663","1250","1510","68585","12773","1318","2119","6953","2668","423","1977","869","1304","11287","9716","102365","3244","3742","1461","3863","397","285","4484","11607","8354","712","19975","14979","368","6573","1548","3436","8597","611216","10228","512","6591","17474","1144","4346","17586","6197","1068","1546","194"
"South Carolina/SC","3917072","24657","1956","13112","5432","34558","12702","13010","5287","10050","99628","147445","3330","1012","10746","12793","4381","6927","12832","8030","1461","39670","8206","12687","3675","8336","9033","1651","1894","5404","2726","20225","3535","63585","227849","433","21929","7161","5019","27854","1155","2835772","536","37896","52845","4093","752","57429","14683","5594","5054","1042"
"South Dakota/SD","1045281","1678","3131","28812","2236","33994","31156","310","294","428","14310","5869","214","8016","8663","3092","28968","5275","1964","3196","375","2439","1686","6641","64427","1251","10807","12478","33593","5606","145","1256","2170","4565","6551","17367","5461","4339","11200","3031","258","3667","563548","6169","30789","3412","386","7900","25463","372","8893","17430"
"Tennessee/TN","5616075","87820","3084","20789","51544","76158","27955","2689","2954","5491","128932","190006","3781","3792","51495","44885","7237","16309","86331","16076","1680","15405","7748","42858","10784","141955","33550","2202","7488","9802","1795","7156","4271","18724","76976","1537","55958","15342","11486","20420","1527","39084","1605","4003405","117194","5699","745","84787","18890","5407","21507","1760"
"Texas/TX","20755181","66354","17397","145978","158840","469479","200942","17445","4922","10872","225951","138755","23158","26347","109329","54575","26488","61825","33347","148973","7720","43193","30341","73712","38397","42814","96255","14811","29102","61028","7938","27412","151728","79012","107496","8642","71021","261878","56686","58065","5021","47731","10145","102828","17040388","45191","3781","107965","120562","9805","38102","15434"
"Utah/UT","2686790","4690","5208","70983","3909","100620","45146","3006","373","820","20000","9150","5092","84917","7266","5566","4490","5706","3981","3593","270","5324","2622","8399","8989","1962","12217","13859","4412","54856","1578","4331","10180","9732","9278","4749","9026","8160","37106","6714","791","4595","2526","6471","49529","1924529","761","15208","52677","2481","3840","25102"
"Vermont/VT","544454","574","947","6161","1078","12950","5905","10266","205","316","26716","3807","638","876","1512","1949","611","1020","1971","741","7692","2718","24285","1558","1572","896","1407","1389","544","1499","24942","2935","560","36675","9778","131","2011","1016","2313","5095","2398","3693","56","4514","5921","852","305260","8731","3186","1247","1066","271"
"Virginia/VA","6352878","24799","4112","32273","7895","113314","39444","19259","17666","28168","211655","108575","8256","6408","35950","28766","7857","10781","39017","12203","6828","178441","28537","30853","9653","8525","21665","4458","5982","15725","8143","38080","8672","72882","314879","1851","60721","16462","14388","86681","3728","76825","2100","92889","127993","15642","4308","4215455","35898","73253","12472","2491"
"Washington/WA","4956959","9640","32791","97122","11044","243839","47530","6246","1593","4166","46986","33807","14593","97891","24810","13957","8646","10821","7757","9422","4584","18571","10589","18742","17799","4853","18876","45213","7383","33646","3109","9109","10679","25750","28709","7116","15641","16806","205349","15622","2296","15720","4045","19609","97697","36148","1460","28235","3486595","3708","12393","8246"
"West Virginia/WV","2264790","9141","1998","13003","3774","23457","8978","2613","4615","2371","97065","31216","948","1177","12089","16053","3369","2662","44327","3982","891","37303","4179","19745","4039","3036","7475","840","1123","5854","736","6679","2682","12536","85545","216","243357","4454","6147","55567","87","36312","44","33883","34793","2086","488","112079","6677","1247068","4558","1473"
"Wisconsin/WI","5611574","8768","8272","75553","14669","121965","61730","4734","1923","4941","123944","36910","4530","8366","149448","34504","37829","11859","13549","7235","2409","15042","14233","62696","205974","10830","31549","8566","5940","21447","3318","7562","9138","24900","34275","8241","26965","12984","24999","17175","667","14981","5310","29937","84894","11164","2051","25819","42400","2478","4107047","5854"
"Wyoming/WY","539401","1951","3762","18014","4132","22265","39336","283","15","351","7942","2535","684","10411","3947","2259","3084","5203","379","1876","575","1622","1127","2847","4568","837","3215","18053","9017","7680","174","657","5033","5356","3386","1720","2327","6003","9042","1852","298","2154","5809","3184","27864","18788","544","4032","15908","406","3320","243574"
"American Samoa","26317","113","1818","326","0","5451","0","0","0","0","31","145","4678","73","251","0","0","0","87","0","0","229","0","45","0","47","251","0","0","535","0","0","171","0","733","0","0","0","723","0","0","89","0","0","3692","2389","0","126","4314","0","0","0"
"Guam","109532","745","1990","2376","205","26797","4186","328","386","40","4275","3138","3581","1595","1749","1582","142","1064","882","1004","20","859","369","1130","632","522","857","458","523","5863","197","417","1137","1315","3376","0","1369","619","2717","942","458","1119","40","2132","6067","2569","0","4187","12540","692","330","11"
"Commonwealth of the Northern Mariana Islands","12680","0","0","919","0","1809","1087","0","0","0","130","514","1185","0","0","0","322","19","0","0","0","179","401","0","0","68","224","0","23","702","298","93","0","0","779","0","0","104","147","0","0","511","0","0","1220","77","0","137","1672","60","0","0"
"Puerto Rico","1870854","10849","2321","13363","3374","43156","9893","105861","8281","2933","526601","35341","1552","2115","52927","8191","1907","2415","6026","6646","1655","14987","129847","9993","2496","4608","3656","196","441","4070","6208","123943","3270","273195","37316","1257","42112","3908","1602","153958","16970","17072","943","13591","87829","4308","473","35054","6783","809","24276","276"
"US Virgin Islands","80778","1997","0","424","285","1446","880","1078","0","99","20943","14002","0","0","2307","177","141","0","0","181","0","6115","1599","0","429","92","315","0","0","81","446","1457","0","7096","2726","0","1047","464","255","2583","187","790","0","688","6722","0","0","2574","1107","45","0","0"
"Albania","95436","0","0","1634","20","2628","0","3717","0","417","6329","57","0","0","6592","108","0","182","0","50","0","351","10168","7866","0","0","990","0","0","499","938","10126","0","24212","890","0","1469","0","87","8764","464","54","0","1738","2641","0","90","1388","75","0","892","0"
"Austria","45184","572","0","1295","34","7931","747","854","242","0","3571","1099","0","94","2579","237","178","74","92","57","0","678","722","1090","551","73","810","0","0","1052","638","1474","390","4568","828","0","1513","722","625","1941","0","523","0","847","1973","41","178","1851","1171","76","1193","0"
"Belgium","48252","25","325","912","0","7429","1047","353","0","550","4229","2412","80","61","1144","796","0","253","323","793","53","970","1413","671","762","139","146","0","0","615","43","1509","222","5508","2799","681","955","119","1001","1163","129","488","0","334","2234","1430","0","2505","1025","260","228","118"
